assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_003703085.1	PRJNA224116	SAMN03976334	RBUU00000000.1	na	53707	47877	Pseudomonas amygdali pv. lachrymans	strain=ICMP 1448		latest	Scaffold	Major	Full	2018/10/30	ASM370308v1	University of Toronto	GCA_003703085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/703/085/GCF_003703085.1_ASM370308v1		
GCF_001294115.1	PRJNA224116	SAMN03837776	LGKS00000000.1	na	86841	47877	Pseudomonas amygdali pv. sesami	strain=HC_1		latest	Scaffold	Major	Full	2015/09/18	PseHC_1	University of Toronto	GCA_001294115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/294/115/GCF_001294115.1_PseHC_1		
GCF_001401265.1	PRJNA224116	SAMN03976303	LJRG00000000.1	na	86841	47877	Pseudomonas amygdali pv. sesami	strain=ICMP763		latest	Scaffold	Major	Full	2015/10/20	PseICMP763	University of Toronto	GCA_001401265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/401/265/GCF_001401265.1_PseICMP763		
GCF_003702085.1	PRJNA224116	SAMN03976362	RBTS00000000.1	na	86841	47877	Pseudomonas amygdali pv. sesami	strain=ICMP 4995		latest	Scaffold	Major	Full	2018/10/30	ASM370208v1	University of Toronto	GCA_003702085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/702/085/GCF_003702085.1_ASM370208v1		
GCF_003702295.1	PRJNA224116	SAMN03976363	RBTR00000000.1	na	86841	47877	Pseudomonas amygdali pv. sesami	strain=ICMP 3386		latest	Scaffold	Major	Full	2018/10/30	ASM370229v1	University of Toronto	GCA_003702295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/702/295/GCF_003702295.1_ASM370229v1		
GCF_003703175.1	PRJNA224116	SAMN03976329	RBUZ00000000.1	na	86841	47877	Pseudomonas amygdali pv. sesami	strain=ICMP 7459		latest	Scaffold	Major	Full	2018/10/30	ASM370317v1	University of Toronto	GCA_003703175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/703/175/GCF_003703175.1_ASM370317v1		
GCF_001538055.1	PRJNA224116	SAMN03992199	LIID00000000.1	na	129137	47877	Pseudomonas amygdali pv. eriobotryae	strain=CFBP 2343		latest	Contig	Major	Full	2016/01/25	ASM153805v1	University of Edinburgh	GCA_001538055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/538/055/GCF_001538055.1_ASM153805v1		
GCF_014652995.1	PRJNA224116	SAMD00239674	BMZW00000000.1	na	129137	47877	Pseudomonas amygdali pv. eriobotryae	strain=AM001		latest	Contig	Major	Full	2020/09/09	ASM1465299v1	agriresource, agriculture, saga university	GCA_014652995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/652/995/GCF_014652995.1_ASM1465299v1		
GCF_014653015.1	PRJNA224116	SAMD00239675	BMZX00000000.1	na	129137	47877	Pseudomonas amygdali pv. eriobotryae	strain=BM001		latest	Contig	Major	Full	2020/09/09	ASM1465301v1	agriresource, agriculture, saga university	GCA_014653015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/653/015/GCF_014653015.1_ASM1465301v1		
GCF_014653035.1	PRJNA224116	SAMD00239676	BMZY00000000.1	na	129137	47877	Pseudomonas amygdali pv. eriobotryae	strain=CG001		latest	Contig	Major	Full	2020/09/09	ASM1465303v1	agriresource, agriculture, saga university	GCA_014653035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/653/035/GCF_014653035.1_ASM1465303v1		
GCF_001294215.1	PRJNA224116	SAMN03837768	LGLQ00000000.1	na	129138	47877	Pseudomonas amygdali pv. morsprunorum	strain=FTRS_U7805		latest	Contig	Major	Full	2015/09/18	PmpFTRS_U7805	University of Toronto	GCA_001294215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/294/215/GCF_001294215.1_PmpFTRS_U7805		
GCF_001535735.1	PRJNA224116	SAMN03992203	LIIB00000000.1	na	129138	47877	Pseudomonas amygdali pv. morsprunorum	strain=2341		latest	Contig	Major	Full	2016/01/25	ASM153573v1	University of Edinburgh	GCA_001535735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/535/735/GCF_001535735.1_ASM153573v1		
GCF_001535755.1	PRJNA224116	SAMN03992207	LIIA00000000.1	na	129138	47877	Pseudomonas amygdali pv. morsprunorum	strain=HRI-W 5261		latest	Contig	Major	Full	2016/01/25	ASM153575v1	University of Edinburgh	GCA_001535755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/535/755/GCF_001535755.1_ASM153575v1		
GCF_001535785.1	PRJNA224116	SAMN03992210	LIHZ00000000.1	na	129138	47877	Pseudomonas amygdali pv. morsprunorum	strain=HRI-W 5269		latest	Contig	Major	Full	2016/01/25	ASM153578v1	University of Edinburgh	GCA_001535785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/535/785/GCF_001535785.1_ASM153578v1		
GCF_002736925.1	PRJNA224116	SAMN04092614	LKCD00000000.1	na	129138	47877	Pseudomonas amygdali pv. morsprunorum	strain=NZIPFR-PS6		latest	Scaffold	Major	Full	2017/10/30	ASM273692v1	New Zealand Institute for Plant & Food research	GCA_002736925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/736/925/GCF_002736925.1_ASM273692v1		
GCF_002905685.2	PRJNA224116	SAMN05861158		na	129138	47877	Pseudomonas amygdali pv. morsprunorum	strain=R15244		latest	Complete Genome	Major	Full	2018/02/12	ASM290568v2	NIAB East Malling Research	GCA_002905685.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/905/685/GCF_002905685.2_ASM290568v2		
GCF_002905755.1	PRJNA224116	SAMN05861161	MLEF00000000.1	na	129138	47877	Pseudomonas amygdali pv. morsprunorum	strain=R19657		latest	Contig	Major	Full	2018/01/29	ASM290575v1	NIAB East Malling Research	GCA_002905755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/905/755/GCF_002905755.1_ASM290575v1		
GCF_002905895.1	PRJNA224116	SAMN05861171	MLEO00000000.1	na	129138	47877	Pseudomonas amygdali pv. morsprunorum	strain=R19326		latest	Contig	Major	Full	2018/01/29	ASM290589v1	NIAB East Malling Research	GCA_002905895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/905/895/GCF_002905895.1_ASM290589v1		
GCF_002916305.1	PRJNA224116	SAMN06627495	NBAI00000000.1	na	129138	47877	Pseudomonas amygdali pv. morsprunorum	strain=7968A		latest	Contig	Major	Full	2018/02/05	7968A	NIAB East Malling Research	GCA_002916305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/916/305/GCF_002916305.1_7968A		
GCF_002916395.1	PRJNA224116	SAMN06627598	NBAN00000000.1	na	129138	47877	Pseudomonas amygdali pv. morsprunorum	strain=5270		latest	Contig	Major	Full	2018/02/05	5270	NIAB East Malling Research	GCA_002916395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/916/395/GCF_002916395.1_5270		
GCF_003698945.1	PRJNA224116	SAMN03976519	RBNS00000000.1	na	129138	47877	Pseudomonas amygdali pv. morsprunorum	strain=19322		latest	Scaffold	Major	Full	2018/10/30	ASM369894v1	University of Toronto	GCA_003698945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/698/945/GCF_003698945.1_ASM369894v1		
GCF_003700095.1	PRJNA224116	SAMN03976456	RBQD00000000.1	na	129138	47877	Pseudomonas amygdali pv. morsprunorum	strain=ICMP 3897		latest	Scaffold	Major	Full	2018/10/30	ASM370009v1	University of Toronto	GCA_003700095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/700/095/GCF_003700095.1_ASM370009v1		
GCF_003700615.1	PRJNA224116	SAMN03976470	RBPP00000000.1	na	129138	47877	Pseudomonas amygdali pv. morsprunorum	strain=ICMP 568		latest	Scaffold	Major	Full	2018/10/30	ASM370061v1	University of Toronto	GCA_003700615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/700/615/GCF_003700615.1_ASM370061v1		
GCF_003702205.1	PRJNA224116	SAMN03976356	RBTY00000000.1	na	129138	47877	Pseudomonas amygdali pv. morsprunorum	strain=ICMP 4983		latest	Scaffold	Major	Full	2018/10/30	ASM370220v1	University of Toronto	GCA_003702205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/702/205/GCF_003702205.1_ASM370220v1		
GCF_001293985.1	PRJNA224116	SAMN03837769	LGLA00000000.1	na	129139	47877	Pseudomonas amygdali pv. myricae	strain=AZ84488		latest	Scaffold	Major	Full	2015/09/18	PmyAZ84488	University of Toronto	GCA_001293985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/293/985/GCF_001293985.1_PmyAZ84488		
GCF_001400555.1	PRJNA224116	SAMN03976272	LJQV00000000.1	na	129139	47877	Pseudomonas amygdali pv. myricae	strain=ICMP7118		latest	Scaffold	Major	Full	2015/10/20	PmyICMP7118	University of Toronto	GCA_001400555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/400/555/GCF_001400555.1_PmyICMP7118		
GCF_001535805.1	PRJNA224116	SAMN03992212	LIHY00000000.1	na	129139	47877	Pseudomonas amygdali pv. myricae	strain=CFBP 2897		latest	Contig	Major	Full	2016/01/25	ASM153580v1	University of Edinburgh	GCA_001535805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/535/805/GCF_001535805.1_ASM153580v1		
GCF_003701955.1	PRJNA224116	SAMN03976371	RBTJ00000000.1	na	129139	47877	Pseudomonas amygdali pv. myricae	strain=ICMP 7120		latest	Scaffold	Major	Full	2018/10/30	ASM370195v1	University of Toronto	GCA_003701955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/701/955/GCF_003701955.1_ASM370195v1		
GCF_003702925.1	PRJNA224116	SAMN03976343	RBUL00000000.1	na	129139	47877	Pseudomonas amygdali pv. myricae	strain=ICMP 11510		latest	Scaffold	Major	Full	2018/10/30	ASM370292v1	University of Toronto	GCA_003702925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/702/925/GCF_003702925.1_ASM370292v1		
GCF_003703025.1	PRJNA224116	SAMN03976339	RBUP00000000.1	na	129139	47877	Pseudomonas amygdali pv. myricae	strain=ICMP 11123		latest	Scaffold	Major	Full	2018/10/30	ASM370302v1	University of Toronto	GCA_003703025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/703/025/GCF_003703025.1_ASM370302v1		
GCF_000935735.1	PRJNA224116	SAMN03328994	JYHG00000000.1	na	235272	47877	Pseudomonas amygdali pv. dendropanacis	strain=CFBP 3226		latest	Contig	Major	Full	2015/03/02	PSDCFBP3226-G1	INRA	GCA_000935735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/935/735/GCF_000935735.1_PSDCFBP3226-G1		
GCF_001400435.1	PRJNA224116	SAMN03976281	LJQG00000000.1	na	235272	47877	Pseudomonas amygdali pv. dendropanacis	strain=ICMP9150		latest	Scaffold	Major	Full	2015/10/20	PdeICMP9150	University of Toronto	GCA_001400435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/400/435/GCF_001400435.1_PdeICMP9150		
GCF_001538145.1	PRJNA224116	SAMN03992196	LIIE00000000.1	na	235272	47877	Pseudomonas amygdali pv. dendropanacis	strain=CFBP 3226		latest	Contig	Major	Full	2016/01/25	ASM153814v1	University of Edinburgh	GCA_001538145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/538/145/GCF_001538145.1_ASM153814v1		
GCF_001401165.1	PRJNA224116	SAMN03976251	LJRQ00000000.1	na	251720	47877	Pseudomonas amygdali pv. ulmi	strain=ICMP3962		latest	Scaffold	Major	Full	2015/10/20	PumICMP3962	University of Toronto	GCA_001401165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/401/165/GCF_001401165.1_PumICMP3962		
GCF_001535915.1	PRJNA224116	SAMN03992222	LIHQ00000000.1	na	251720	47877	Pseudomonas amygdali pv. ulmi	strain=CFBP 1407		latest	Contig	Major	Full	2016/01/25	ASM153591v1	University of Edinburgh	GCA_001535915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/535/915/GCF_001535915.1_ASM153591v1		
GCF_003701335.1	PRJNA224116	SAMN03976415	RBRS00000000.1	na	251720	47877	Pseudomonas amygdali pv. ulmi	strain=ICMP 5931		latest	Scaffold	Major	Full	2018/10/30	ASM370133v1	University of Toronto	GCA_003701335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/701/335/GCF_003701335.1_ASM370133v1		
GCF_001293975.1	PRJNA224116	SAMN03837767	LGLB00000000.1	na	251721	47877	Pseudomonas amygdali pv. mellea	strain=N6801		latest	Scaffold	Major	Full	2015/09/18	PmeN6801	University of Toronto	GCA_001293975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/293/975/GCF_001293975.1_PmeN6801		
GCF_001400875.1	PRJNA224116	SAMN03976269	LJQS00000000.1	na	251721	47877	Pseudomonas amygdali pv. mellea	strain=ICMP5711		latest	Scaffold	Major	Full	2015/10/20	PmeICMP5711	University of Toronto	GCA_001400875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/400/875/GCF_001400875.1_PmeICMP5711		
GCF_001537955.1	PRJNA224116	SAMN03992138	LILK00000000.1	na	251722	47877	Pseudomonas amygdali pv. aesculi	strain=2329		latest	Contig	Major	Full	2016/01/25	ASM153795v1	University of Edinburgh	GCA_001537955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/537/955/GCF_001537955.1_ASM153795v1		
GCF_001537965.1	PRJNA224116	SAMN03782321	LIKY00000000.1	na	251722	47877	Pseudomonas amygdali pv. aesculi	strain=2113		latest	Contig	Major	Full	2016/01/25	ASM153796v1	University of Edinburgh	GCA_001537965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/537/965/GCF_001537965.1_ASM153796v1		
GCF_001537985.1	PRJNA224116	SAMN03991891	LILI00000000.1	na	251722	47877	Pseudomonas amygdali pv. aesculi	strain=2306		latest	Contig	Major	Full	2016/01/25	ASM153798v1	University of Edinburgh	GCA_001537985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/537/985/GCF_001537985.1_ASM153798v1		
GCF_001538045.1	PRJNA224116	SAMN03989044	LILH00000000.1	na	251722	47877	Pseudomonas amygdali pv. aesculi	strain=2279		latest	Contig	Major	Full	2016/01/25	ASM153804v1	University of Edinburgh	GCA_001538045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/538/045/GCF_001538045.1_ASM153804v1		
GCF_001538085.1	PRJNA224116	SAMN03992139	LILL00000000.1	na	251722	47877	Pseudomonas amygdali pv. aesculi	strain=2336		latest	Contig	Major	Full	2016/01/25	ASM153808v1	University of Edinburgh	GCA_001538085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/538/085/GCF_001538085.1_ASM153808v1		
GCF_001538185.1	PRJNA224116	SAMN03991981	LILJ00000000.1	na	251722	47877	Pseudomonas amygdali pv. aesculi	strain=2315		latest	Contig	Major	Full	2016/01/25	ASM153818v1	University of Edinburgh	GCA_001538185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/538/185/GCF_001538185.1_ASM153818v1		
GCF_001400395.1	PRJNA224116	SAMN03976277	LJQN00000000.1	na	251723	47877	Pseudomonas amygdali pv. hibisci	strain=ICMP9623		latest	Scaffold	Major	Full	2015/10/20	PhiICMP9623	University of Toronto	GCA_001400395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/400/395/GCF_001400395.1_PhiICMP9623		
GCF_003699855.1	PRJNA224116	SAMN03976482	RBPD00000000.1	na	251723	47877	Pseudomonas amygdali pv. hibisci	strain=ICMP 9314		latest	Scaffold	Major	Full	2018/10/30	ASM369985v1	University of Toronto	GCA_003699855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/699/855/GCF_003699855.1_ASM369985v1		
GCF_900205965.1	PRJNA224116	SAMEA104228769	OAOF00000000.1	representative genome	253257	253257	Lacrimispora amygdalina		src4	latest	Contig	Major	Full	2017/09/28	Clostridium_amygdalinum_DPC7176	TEAGASC	GCA_900205965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/205/965/GCF_900205965.1_Clostridium_amygdalinum_DPC7176		
GCF_902167965.1	PRJNA224116	SAMEA5771499	CABHNS000000000.1	na	253257	253257	Lacrimispora amygdalina		Clostridium_amygdalinum_SV_Bg7063_mod2	latest	Contig	Major	Full	2019/07/15	Clostridium_amygdalinum_SV_Bg7063_mod2	The Edison Family Center of Genome Sciences and Systems Biology	GCA_902167965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/167/965/GCF_902167965.1_Clostridium_amygdalinum_SV_Bg7063_mod2		
GCF_001400755.1	PRJNA224116	SAMN03976288	LJPY00000000.1	na	264452	47877	Pseudomonas amygdali pv. ciccaronei	strain=ICMP5710		latest	Scaffold	Major	Full	2015/10/20	PccICMP5710	University of Toronto	GCA_001400755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/400/755/GCF_001400755.1_PccICMP5710		
GCF_000145945.2	PRJNA224116	SAMN02471315		representative genome	573066	47877	Pseudomonas amygdali pv. tabaci str. ATCC 11528	strain=ATCC 11528		latest	Complete Genome	Major	Full	2019/08/15	ASM14594v2	University of North Carolina at Chapel Hill	GCA_000145945.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/145/945/GCF_000145945.2_ASM14594v2		
GCF_000159835.2	PRJNA224116	SAMN00002878	ACHU00000000.2	na	573066	47877	Pseudomonas amygdali pv. tabaci str. ATCC 11528	strain=ATCC 11528		latest	Contig	Major	Full	2009/08/27	ASM15983v2	The Sainsbury Laboratory	GCA_000159835.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/835/GCF_000159835.2_ASM15983v2		
